"Datetime";"Power"
"20230101:00";"300"
"20230101:01";"256"
"20230101:02";"269"
"20230101:03";"761"
"20230101:04";"847"
"20230101:05";"530"
"20230101:06";"857"
"20230101:07";"512"
"20230101:08";"29"
"20230101:09";"432"
"20230101:10";"624"
"20230101:11";"532"
"20230101:12";"157"
"20230101:13";"90"
"20230101:14";"15"
"20230101:15";"552"
"20230101:16";"855"
"20230101:17";"450"
"20230101:18";"689"
"20230101:19";"323"
"20230101:20";"159"
"20230101:21";"749"
"20230101:22";"197"
"20230101:23";"779"
"20230102:00";"234"
"20230102:01";"153"
"20230102:02";"96"
"20230102:03";"618"
"20230102:04";"442"
"20230102:05";"236"
"20230102:06";"50"
"20230102:07";"585"
"20230102:08";"336"
"20230102:09";"524"
"20230102:10";"105"
"20230102:11";"600"
"20230102:12";"150"
"20230102:13";"883"
"20230102:14";"925"
"20230102:15";"907"
"20230102:16";"664"
"20230102:17";"882"
"20230102:18";"891"
"20230102:19";"554"
"20230102:20";"735"
"20230102:21";"627"
"20230102:22";"97"
"20230102:23";"570"
"20230103:00";"46"
"20230103:01";"312"
"20230103:02";"205"
"20230103:03";"958"
"20230103:04";"742"
"20230103:05";"237"
"20230103:06";"167"
"20230103:07";"496"
"20230103:08";"767"
"20230103:09";"264"
"20230103:10";"880"
"20230103:11";"913"
"20230103:12";"561"
"20230103:13";"143"
"20230103:14";"73"
"20230103:15";"900"
"20230103:16";"986"
"20230103:17";"32"
"20230103:18";"557"
"20230103:19";"513"
"20230103:20";"421"
"20230103:21";"997"
"20230103:22";"10"
"20230103:23";"306"
"20230104:00";"403"
"20230104:01";"309"
"20230104:02";"627"
"20230104:03";"815"
"20230104:04";"97"
"20230104:05";"395"
"20230104:06";"383"
"20230104:07";"779"
"20230104:08";"461"
"20230104:09";"349"
"20230104:10";"266"
"20230104:11";"218"
"20230104:12";"13"
"20230104:13";"767"
"20230104:14";"19"
"20230104:15";"772"
"20230104:16";"421"
"20230104:17";"55"
"20230104:18";"742"
"20230104:19";"261"
"20230104:20";"629"
"20230104:21";"202"
"20230104:22";"964"
"20230104:23";"733"
"20230105:00";"560"
"20230105:01";"124"
"20230105:02";"941"
"20230105:03";"480"
"20230105:04";"214"
"20230105:05";"942"
"20230105:06";"822"
"20230105:07";"904"
"20230105:08";"554"
"20230105:09";"847"
"20230105:10";"419"
"20230105:11";"979"
"20230105:12";"285"
"20230105:13";"937"
"20230105:14";"819"
"20230105:15";"265"
"20230105:16";"378"
"20230105:17";"6"
"20230105:18";"191"
"20230105:19";"199"
"20230105:20";"100"
"20230105:21";"746"
"20230105:22";"403"
"20230105:23";"926"
"20230106:00";"704"
"20230106:01";"227"
"20230106:02";"651"
"20230106:03";"643"
"20230106:04";"126"
"20230106:05";"240"
"20230106:06";"143"
"20230106:07";"281"
"20230106:08";"608"
"20230106:09";"56"
"20230106:10";"436"
"20230106:11";"782"
"20230106:12";"975"
"20230106:13";"356"
"20230106:14";"355"
"20230106:15";"549"
"20230106:16";"936"
"20230106:17";"742"
"20230106:18";"815"
"20230106:19";"515"
"20230106:20";"805"
"20230106:21";"94"
"20230106:22";"996"
"20230106:23";"650"
"20230107:00";"480"
"20230107:01";"367"
"20230107:02";"78"
"20230107:03";"520"
"20230107:04";"17"
"20230107:05";"576"
"20230107:06";"680"
"20230107:07";"634"
"20230107:08";"4"
"20230107:09";"502"
"20230107:10";"210"
"20230107:11";"819"
"20230107:12";"267"
"20230107:13";"416"
"20230107:14";"876"
"20230107:15";"191"
"20230107:16";"311"
"20230107:17";"494"
"20230107:18";"247"
"20230107:19";"688"
"20230107:20";"532"
"20230107:21";"830"
"20230107:22";"155"
"20230107:23";"795"
"20230108:00";"829"
"20230108:01";"237"
"20230108:02";"430"
"20230108:03";"443"
"20230108:04";"910"
"20230108:05";"425"
"20230108:06";"714"
"20230108:07";"620"
"20230108:08";"210"
"20230108:09";"784"
"20230108:10";"634"
"20230108:11";"519"
"20230108:12";"27"
"20230108:13";"241"
"20230108:14";"321"
"20230108:15";"577"
"20230108:16";"363"
"20230108:17";"486"
"20230108:18";"378"
"20230108:19";"308"
"20230108:20";"58"
"20230108:21";"253"
"20230108:22";"552"
"20230108:23";"393"
"20230109:00";"44"
"20230109:01";"720"
"20230109:02";"928"
"20230109:03";"623"
"20230109:04";"979"
"20230109:05";"230"
"20230109:06";"561"
"20230109:07";"371"
"20230109:08";"926"
"20230109:09";"232"
"20230109:10";"71"
"20230109:11";"912"
"20230109:12";"405"
"20230109:13";"777"
"20230109:14";"265"
"20230109:15";"336"
"20230109:16";"790"
"20230109:17";"474"
"20230109:18";"771"
"20230109:19";"421"
"20230109:20";"729"
"20230109:21";"643"
"20230109:22";"570"
"20230109:23";"931"
"20230110:00";"548"
"20230110:01";"923"
"20230110:02";"383"
"20230110:03";"261"
"20230110:04";"233"
"20230110:05";"347"
"20230110:06";"817"
"20230110:07";"734"
"20230110:08";"136"
"20230110:09";"587"
"20230110:10";"580"
"20230110:11";"214"
"20230110:12";"377"
"20230110:13";"902"
"20230110:14";"894"
"20230110:15";"10"
"20230110:16";"975"
"20230110:17";"53"
"20230110:18";"102"
"20230110:19";"245"
"20230110:20";"617"
"20230110:21";"898"
"20230110:22";"844"
"20230110:23";"808"
"20230111:00";"770"
"20230111:01";"646"
"20230111:02";"804"
"20230111:03";"705"
"20230111:04";"952"
"20230111:05";"26"
"20230111:06";"785"
"20230111:07";"522"
"20230111:08";"595"
"20230111:09";"782"
"20230111:10";"217"
"20230111:11";"563"
"20230111:12";"847"
"20230111:13";"140"
"20230111:14";"966"
"20230111:15";"655"
"20230111:16";"595"
"20230111:17";"799"
"20230111:18";"782"
"20230111:19";"615"
"20230111:20";"93"
"20230111:21";"707"
"20230111:22";"366"
"20230111:23";"322"
"20230112:00";"541"
"20230112:01";"441"
"20230112:02";"876"
"20230112:03";"172"
"20230112:04";"881"
"20230112:05";"367"
"20230112:06";"651"
"20230112:07";"986"
"20230112:08";"39"
"20230112:09";"455"
"20230112:10";"209"
"20230112:11";"989"
"20230112:12";"516"
"20230112:13";"72"
"20230112:14";"809"
"20230112:15";"599"
"20230112:16";"644"
"20230112:17";"295"
"20230112:18";"362"
"20230112:19";"760"
"20230112:20";"897"
"20230112:21";"215"
"20230112:22";"386"
"20230112:23";"470"
"20230113:00";"714"
"20230113:01";"342"
"20230113:02";"796"
"20230113:03";"812"
"20230113:04";"94"
"20230113:05";"590"
"20230113:06";"328"
"20230113:07";"761"
"20230113:08";"874"
"20230113:09";"363"
"20230113:10";"482"
"20230113:11";"325"
"20230113:12";"19"
"20230113:13";"185"
"20230113:14";"309"
"20230113:15";"282"
"20230113:16";"608"
"20230113:17";"18"
"20230113:18";"146"
"20230113:19";"440"
"20230113:20";"465"
"20230113:21";"451"
"20230113:22";"807"
"20230113:23";"471"
"20230114:00";"265"
"20230114:01";"681"
"20230114:02";"854"
"20230114:03";"355"
"20230114:04";"58"
"20230114:05";"20"
"20230114:06";"178"
"20230114:07";"515"
"20230114:08";"512"
"20230114:09";"47"
"20230114:10";"656"
"20230114:11";"739"
"20230114:12";"14"
"20230114:13";"160"
"20230114:14";"887"
"20230114:15";"773"
"20230114:16";"151"
"20230114:17";"443"
"20230114:18";"29"
"20230114:19";"838"
"20230114:20";"189"
"20230114:21";"958"
"20230114:22";"976"
"20230114:23";"830"
"20230115:00";"924"
"20230115:01";"588"
"20230115:02";"528"
"20230115:03";"491"
"20230115:04";"821"
"20230115:05";"974"
"20230115:06";"650"
"20230115:07";"334"
"20230115:08";"549"
"20230115:09";"303"
"20230115:10";"39"
"20230115:11";"142"
"20230115:12";"562"
"20230115:13";"391"
"20230115:14";"834"
"20230115:15";"17"
"20230115:16";"980"
"20230115:17";"761"
"20230115:18";"379"
"20230115:19";"130"
"20230115:20";"553"
"20230115:21";"578"
"20230115:22";"242"
"20230115:23";"534"
"20230116:00";"656"
"20230116:01";"921"
"20230116:02";"743"
"20230116:03";"794"
"20230116:04";"445"
"20230116:05";"847"
"20230116:06";"584"
"20230116:07";"583"
"20230116:08";"243"
"20230116:09";"716"
"20230116:10";"140"
"20230116:11";"170"
"20230116:12";"163"
"20230116:13";"349"
"20230116:14";"863"
"20230116:15";"604"
"20230116:16";"327"
"20230116:17";"654"
"20230116:18";"806"
"20230116:19";"941"
"20230116:20";"7"
"20230116:21";"329"
"20230116:22";"646"
"20230116:23";"517"
"20230117:00";"107"
"20230117:01";"921"
"20230117:02";"842"
"20230117:03";"628"
"20230117:04";"696"
"20230117:05";"456"
"20230117:06";"340"
"20230117:07";"852"
"20230117:08";"775"
"20230117:09";"144"
"20230117:10";"728"
"20230117:11";"514"
"20230117:12";"358"
"20230117:13";"386"
"20230117:14";"87"
"20230117:15";"93"
"20230117:16";"947"
"20230117:17";"644"
"20230117:18";"888"
"20230117:19";"804"
"20230117:20";"45"
"20230117:21";"337"
"20230117:22";"709"
"20230117:23";"163"
"20230118:00";"300"
"20230118:01";"256"
"20230118:02";"759"
"20230118:03";"719"
"20230118:04";"316"
"20230118:05";"447"
"20230118:06";"260"
"20230118:07";"100"
"20230118:08";"366"
"20230118:09";"272"
"20230118:10";"379"
"20230118:11";"516"
"20230118:12";"43"
"20230118:13";"397"
"20230118:14";"234"
"20230118:15";"989"
"20230118:16";"304"
"20230118:17";"139"
"20230118:18";"440"
"20230118:19";"947"
"20230118:20";"319"
"20230118:21";"359"
"20230118:22";"957"
"20230118:23";"317"
"20230119:00";"312"
"20230119:01";"389"
"20230119:02";"215"
"20230119:03";"584"
"20230119:04";"699"
"20230119:05";"528"
"20230119:06";"622"
"20230119:07";"281"
"20230119:08";"382"
"20230119:09";"635"
"20230119:10";"384"
"20230119:11";"905"
"20230119:12";"745"
"20230119:13";"904"
"20230119:14";"16"
"20230119:15";"545"
"20230119:16";"406"
"20230119:17";"670"
"20230119:18";"872"
"20230119:19";"6"
"20230119:20";"979"
"20230119:21";"906"
"20230119:22";"310"
"20230119:23";"807"
"20230120:00";"667"
"20230120:01";"479"
"20230120:02";"694"
"20230120:03";"562"
"20230120:04";"92"
"20230120:05";"527"
"20230120:06";"794"
"20230120:07";"117"
"20230120:08";"54"
"20230120:09";"35"
"20230120:10";"256"
"20230120:11";"239"
"20230120:12";"176"
"20230120:13";"560"
"20230120:14";"287"
"20230120:15";"586"
"20230120:16";"146"
"20230120:17";"819"
"20230120:18";"678"
"20230120:19";"875"
"20230120:20";"747"
"20230120:21";"399"
"20230120:22";"328"
"20230120:23";"977"
"20230121:00";"768"
"20230121:01";"973"
"20230121:02";"929"
"20230121:03";"887"
"20230121:04";"126"
"20230121:05";"520"
"20230121:06";"358"
"20230121:07";"415"
"20230121:08";"272"
"20230121:09";"672"
"20230121:10";"288"
"20230121:11";"621"
"20230121:12";"799"
"20230121:13";"319"
"20230121:14";"863"
"20230121:15";"552"
"20230121:16";"872"
"20230121:17";"188"
"20230121:18";"860"
"20230121:19";"21"
"20230121:20";"331"
"20230121:21";"950"
"20230121:22";"881"
"20230121:23";"788"
"20230122:00";"307"
"20230122:01";"511"
"20230122:02";"11"
"20230122:03";"619"
"20230122:04";"112"
"20230122:05";"510"
"20230122:06";"182"
"20230122:07";"90"
"20230122:08";"999"
"20230122:09";"17"
"20230122:10";"423"
"20230122:11";"153"
"20230122:12";"799"
"20230122:13";"513"
"20230122:14";"692"
"20230122:15";"60"
"20230122:16";"837"
"20230122:17";"375"
"20230122:18";"821"
"20230122:19";"872"
"20230122:20";"549"
"20230122:21";"721"
"20230122:22";"685"
"20230122:23";"939"
"20230123:00";"787"
"20230123:01";"991"
"20230123:02";"210"
"20230123:03";"613"
"20230123:04";"445"
"20230123:05";"190"
"20230123:06";"945"
"20230123:07";"149"
"20230123:08";"2"
"20230123:09";"62"
"20230123:10";"727"
"20230123:11";"875"
"20230123:12";"787"
"20230123:13";"58"
"20230123:14";"13"
"20230123:15";"927"
"20230123:16";"666"
"20230123:17";"325"
"20230123:18";"559"
"20230123:19";"590"
"20230123:20";"159"
"20230123:21";"662"
"20230123:22";"299"
"20230123:23";"50"
"20230124:00";"581"
"20230124:01";"265"
"20230124:02";"827"
"20230124:03";"290"
"20230124:04";"120"
"20230124:05";"796"
"20230124:06";"177"
"20230124:07";"352"
"20230124:08";"332"
"20230124:09";"858"
"20230124:10";"202"
"20230124:11";"553"
"20230124:12";"146"
"20230124:13";"611"
"20230124:14";"713"
"20230124:15";"170"
"20230124:16";"239"
"20230124:17";"898"
"20230124:18";"290"
"20230124:19";"130"
"20230124:20";"278"
"20230124:21";"643"
"20230124:22";"540"
"20230124:23";"867"
"20230125:00";"54"
"20230125:01";"74"
"20230125:02";"202"
"20230125:03";"139"
"20230125:04";"196"
"20230125:05";"625"
"20230125:06";"926"
"20230125:07";"737"
"20230125:08";"114"
"20230125:09";"450"
"20230125:10";"464"
"20230125:11";"148"
"20230125:12";"930"
"20230125:13";"471"
"20230125:14";"346"
"20230125:15";"578"
"20230125:16";"371"
"20230125:17";"452"
"20230125:18";"392"
"20230125:19";"250"
"20230125:20";"197"
"20230125:21";"55"
"20230125:22";"535"
"20230125:23";"485"
"20230126:00";"45"
"20230126:01";"961"
"20230126:02";"257"
"20230126:03";"844"
"20230126:04";"30"
"20230126:05";"470"
"20230126:06";"274"
"20230126:07";"849"
"20230126:08";"655"
"20230126:09";"319"
"20230126:10";"723"
"20230126:11";"27"
"20230126:12";"535"
"20230126:13";"394"
"20230126:14";"831"
"20230126:15";"938"
"20230126:16";"410"
"20230126:17";"738"
"20230126:18";"352"
"20230126:19";"518"
"20230126:20";"23"
"20230126:21";"544"
"20230126:22";"967"
"20230126:23";"715"
"20230127:00";"29"
"20230127:01";"275"
"20230127:02";"582"
"20230127:03";"797"
"20230127:04";"788"
"20230127:05";"422"
"20230127:06";"962"
"20230127:07";"964"
"20230127:08";"88"
"20230127:09";"47"
"20230127:10";"847"
"20230127:11";"964"
"20230127:12";"392"
"20230127:13";"69"
"20230127:14";"62"
"20230127:15";"26"
"20230127:16";"203"
"20230127:17";"473"
"20230127:18";"216"
"20230127:19";"842"
"20230127:20";"685"
"20230127:21";"272"
"20230127:22";"976"
"20230127:23";"290"
"20230128:00";"831"
"20230128:01";"25"
"20230128:02";"383"
"20230128:03";"229"
"20230128:04";"521"
"20230128:05";"79"
"20230128:06";"802"
"20230128:07";"951"
"20230128:08";"296"
"20230128:09";"149"
"20230128:10";"629"
"20230128:11";"193"
"20230128:12";"595"
"20230128:13";"876"
"20230128:14";"939"
"20230128:15";"673"
"20230128:16";"104"
"20230128:17";"859"
"20230128:18";"361"
"20230128:19";"972"
"20230128:20";"174"
